"","name","selectivity"
"3289","Curtis Institute of Music",0.0524260628465804
"4362","Stanford University",0.0649470144016763
"7450","Minerva Schools at Keck Graduate Institute",0.0657747890541234
"1733","Harvard University",0.0703705584227336
"1673","United States Naval Academy",0.0900024304878441
"2550","The Juilliard School",0.0913962482431567
"719","Yale University",0.0934837423803282
"2361","Princeton University",0.0965328402894457
"2477","Columbia University in the City of New York",0.0968123877071311
"1757","Massachusetts Institute of Technology",0.1018693727372
"2712","United States Military Academy",0.108207357038314
"5408","Dallas Nursing Institute",0.11111981080822
"1050","University of Chicago",0.114488580271722
"2146","College of the Ozarks",0.121896585488909
"3429","University of Pennsylvania",0.12715487679092
"3514","Brown University",0.129443221230195
"5593","Franklin W Olin College of Engineering",0.134383918013402
"3017","Mount Saint Joseph University",0.135802469135802
"232","California Institute of Technology",0.137205956751427
"484","Pomona College",0.144716477713002
"2266","Dartmouth College",0.149146769395816
"2765","Duke University",0.153837064625226
"291","Claremont McKenna College",0.154852571268865
"3721","Vanderbilt University",0.161351740039787
"1152","Northwestern University",0.169233885905451
"3477","Swarthmore College",0.17065528163255
"658","United States Air Force Academy",0.174148500006821
"481","Pitzer College",0.174746506583262
"356","Harvey Mudd College",0.176603899168283
"4323","Inter American University of Puerto Rico-Metro",0.180457591632446
"1586","Bowdoin College",0.184368392656644
"2485","Cornell University",0.185288096871297
"1681","Amherst College",0.187679352732829
"1641","Johns Hopkins University",0.189050822428441
"205","American Academy of Dramatic Arts-Los Angeles",0.191291981575064
"1807","Tufts University",0.200579139871436
"6185","Yeshivas Be'er Yitzchok",0.205714285714286
"738","Georgetown University",0.208494985959022
"3853","Rice University",0.20981903325545
"715","United States Coast Guard Academy",0.209930883380258
"250","University of California-Berkeley",0.210285978054665
"607","Colorado College",0.211990169672424
"1814","Williams College",0.21301536190231
"2177","Washington University in St Louis",0.215320379481817
"3969","Middlebury College",0.219025962475111
"253","University of California-Los Angeles",0.220053629750334
"1272","University of Notre Dame",0.222368198933686
"2711","United States Merchant Marine Academy",0.224850245507365
"1587","Maine College of Health Professions",0.225
"2445","Phillips Beth Israel School of Nursing",0.225
